(ISS Zarya),.01256,19323,1 25544U 98067A   25119.19035294  .00013779  00000+0  25440-3 0  9995,2 25544  51.6352 189.7367 0002491  81.0639 279.0631 15.49383308507563
ARKTIKA-M 1,.005,2100,1 47719U 21016A   25118.78057943  .00000078  00000-0  00000-0 0  9993,2 47719  63.1448 113.9682 7084235 268.5740  16.7891  2.00604244 30475
COSMOS,0, 1645,1 57517U 23114A   25122.18432369  .00000021  00000+0  00000+0 0  9995,2 57517  65.0735  86.5050 0012553 296.0830  63.7619  2.13103771 13507
